county_name,democrat2000,democrat2004,democrat2008,democrat2012,democrat2016,democrat2020,democrat2024,republican2000,republican2004,republican2008,republican2012,republican2016,republican2020,republican2024,demVotePercent2000,repVotePercent2000,demVotePercent2004,repVotePercent2004,demVotePercent2008,repVotePercent2008,demVotePercent2012,repVotePercent2012,demVotePercent2016,repVotePercent2016,demVotePercent2020,repVotePercent2020,demVotePercent2024,repVotePercent2024
HERTFORD,5484,5141,7513,7843,6910,7097,6191,2382,2942,3089,3007,3099,3479,3561,69.72,30.28,63.6,36.4,70.86,29.14,72.29,27.71,69.04,30.96,67.1,32.9,63.48,36.52
HOKE,5017,5794,9227,10076,9726,11804,11896,3439,5257,6293,6819,7760,9453,10547,59.33,40.67,52.43,47.57,59.45,40.55,59.64,40.36,55.62,44.38,55.53,44.47,53.01,46.99
HYDE,1088,1048,1241,1163,965,1046,931,1132,1235,1212,1193,1288,1418,1465,49.01,50.99,45.9,54.1,50.59,49.41,49.36,50.64,42.83,57.17,42.45,57.55,38.86,61.14
IREDELL,15434,18065,27318,26076,24734,33888,36739,29853,38675,45148,49299,54754,67010,72801,34.08,65.92,31.84,68.16,37.7,62.3,34.6,65.4,31.12,68.88,33.59,66.41,33.54,66.46
JACKSON,5722,6737,8766,8095,7713,9591,9746,6237,7351,7854,8254,9870,11356,11796,47.85,52.15,47.82,52.18,52.74,47.26,49.51,50.49,43.87,56.13,45.79,54.21,45.24,54.76
JOHNSTON,13704,17266,26795,27290,28362,41257,48116,27212,36903,43622,48427,54372,68353,74878,33.49,66.51,31.87,68.13,38.05,61.95,36.04,63.96,34.28,65.72,37.64,62.36,39.12,60.88
JONES,1822,1893,2378,2352,2065,2197,2007,2114,2607,2817,2837,2974,3280,3409,46.29,53.71,42.07,57.93,45.77,54.23,45.33,54.67,40.98,59.02,40.11,59.89,37.06,62.94
LEE,6785,7657,10784,10801,10469,12143,12245,9406,11834,12775,13158,13712,16469,17489,41.91,58.09,39.28,60.72,45.77,54.23,45.08,54.92,43.29,56.71,42.44,57.56,41.18,58.82
LENOIR,9527,10207,13378,13948,12634,13605,12700,11512,12939,13401,13980,13613,14590,14564,45.28,54.72,44.1,55.9,49.96,50.04,49.94,50.06,48.14,51.86,48.25,51.75,46.58,53.42
LINCOLN,8412,9434,11713,11024,9897,13274,14842,15951,20052,23631,25267,28806,36341,40183,34.53,65.47,31.99,68.01,33.14,66.86,30.38,69.62,25.57,74.43,26.75,73.25,26.97,73.03
MACON,4683,5489,6620,5712,4876,6230,6675,8406,9448,10317,10835,12127,14211,14981,35.78,64.22,36.75,63.25,39.09,60.91,34.52,65.48,28.68,71.32,30.48,69.52,30.82,69.18
MADISON,3505,4234,5026,4484,3926,4901,5090,4676,5175,5192,5404,6783,7979,8275,42.84,57.16,45.0,55.0,49.19,50.81,45.35,54.65,36.66,63.34,38.05,61.95,38.08,61.92
MARTIN,4929,5102,6539,6583,5846,5911,5360,4420,5334,5957,5995,5897,6532,6601,52.72,47.28,48.89,51.11,52.33,47.67,52.34,47.66,49.78,50.22,47.5,52.5,44.81,55.19
MCDOWELL,4747,5330,6571,6031,4667,5832,5911,9109,10590,11534,11775,14568,16883,17520,34.26,65.74,33.48,66.52,36.29,63.71,33.87,66.13,24.26,75.74,25.67,74.33,25.23,74.77
MECKLENBURG,126911,166828,253958,272262,294562,378107,376545,134068,155084,153848,171668,155518,179211,187770,48.63,51.37,51.82,48.18,62.27,37.73,61.33,38.67,65.45,34.55,67.84,32.16,66.73,33.27
MITCHELL,1535,2080,2238,1838,1596,1867,1915,4984,5686,5499,5806,6282,7090,6843,23.55,76.45,26.78,73.22,28.93,71.07,24.05,75.95,20.26,79.74,20.84,79.16,21.87,78.13
MONTGOMERY,3979,4313,4926,4706,4150,4327,4055,4946,5745,6155,6404,7130,8411,9044,44.58,55.42,42.88,57.12,44.45,55.55,42.36,57.64,36.79,63.21,33.97,66.03,30.96,69.04
MOORE,11232,13555,17624,16505,16329,20779,21436,19882,24714,27314,29495,30490,36764,39617,36.1,63.9,35.42,64.58,39.22,60.78,35.88,64.12,34.88,65.12,36.11,63.89,35.11,64.89
NASH,12376,15693,23099,24313,23235,25947,25508,17995,21902,23728,23842,23319,25827,26431,40.75,59.25,41.74,58.26,49.33,50.67,50.49,49.51,49.91,50.09,50.12,49.88,49.11,50.89
NEW HANOVER,29292,35572,49145,48668,50979,66138,68814,36503,45351,50544,53385,55344,63331,67949,44.52,55.48,43.96,56.04,49.3,50.7,47.69,52.31,47.95,52.05,51.08,48.92,50.32,49.68
NORTHAMPTON,5513,5584,6903,7232,6144,5799,5239,2667,3176,3671,3483,3582,3989,3905,67.4,32.6,63.74,36.26,65.28,34.72,67.49,32.51,63.17,36.83,59.25,40.75,57.29,42.71
ONSLOW,10269,11250,19499,18490,17514,24266,35684,19657,25890,30278,32243,37122,46078,54960,34.31,65.69,30.29,69.71,39.17,60.83,36.45,63.55,32.06,67.94,34.5,65.5,39.37,60.63
ORANGE,30921,42910,53806,53901,59923,63594,65444,17930,20771,20266,21539,18557,20176,20806,63.3,36.7,67.38,32.62,72.64,27.36,71.45,28.55,76.35,23.65,75.92,24.08,75.88,24.12
PAMLICO,2188,2335,2838,2647,2448,2713,2676,2999,3679,3823,4051,4258,4849,5229,42.18,57.82,38.83,61.17,42.61,57.39,39.52,60.48,36.5,63.5,35.88,64.12,33.85,66.15
PASQUOTANK,5874,6984,10272,10282,8615,9832,9549,4943,6609,7778,7633,8180,9770,10537,54.3,45.7,51.38,48.62,56.91,43.09,57.39,42.61,51.3,48.7,50.16,49.84,47.54,52.46
PENDER,6415,6999,9907,9632,9354,11723,12460,7661,10037,13618,14617,17639,21956,26042,45.57,54.43,41.08,58.92,42.11,57.89,39.72,60.28,34.65,65.35,34.81,65.19,32.36,67.64
PERQUIMANS,2033,1971,2772,2759,2319,2492,2269,2230,2965,3678,3822,4177,4903,5278,47.69,52.31,39.93,60.07,42.98,57.02,41.92,58.08,35.7,64.3,33.7,66.3,30.06,69.94
PERSON,5042,6198,8446,8418,7833,8465,8295,6722,8973,10030,10496,11185,13184,13509,42.86,57.14,40.85,59.15,45.71,54.29,44.51,55.49,41.19,58.81,39.1,60.9,38.04,61.96
PITT,19685,24924,40501,41843,41824,47252,45595,23192,28590,33927,36214,35691,38982,40403,45.91,54.09,46.57,53.43,54.42,45.58,53.61,46.39,53.96,46.04,54.8,45.2,53.02,46.98
POLK,3114,3787,4396,4013,3735,4518,4827,5074,5140,5990,6236,6768,7689,8107,38.03,61.97,42.42,57.58,42.33,57.67,39.16,60.84,35.56,64.44,37.01,62.99,37.32,62.68
RANDOLPH,11366,12966,16414,14773,13194,15618,15951,30959,37771,40998,45160,49430,56894,59357,26.85,73.15,25.56,74.44,28.59,71.41,24.65,75.35,21.07,78.93,21.54,78.46,21.18,78.82
RICHMOND,7935,8383,9713,9904,8501,8754,7787,6263,7709,9424,9332,10383,11830,11931,55.89,44.11,52.09,47.91,50.76,49.24,51.49,48.51,45.02,54.98,42.53,57.47,39.49,60.51
ROBESON,17834,17868,23058,24988,19016,19020,16728,11721,15909,17433,17510,20762,27806,29647,60.34,39.66,52.9,47.1,56.95,43.05,58.8,41.2,47.81,52.19,40.62,59.38,36.07,63.93
ROCKINGHAM,13260,14430,17255,16351,14228,15992,15676,18979,22840,23899,25227,26830,31301,33447,41.13,58.87,38.72,61.28,41.93,58.07,39.33,60.67,34.65,65.35,33.81,66.19,31.91,68.09
ROWAN,14891,16735,23391,22650,19400,23114,23788,28922,34915,37451,38775,42810,49297,50807,33.99,66.01,32.4,67.6,38.45,61.55,36.87,63.13,31.18,68.82,31.92,68.08,31.89,68.11
RUTHERFORD,7697,8184,9641,9374,7512,9135,8914,13755,16343,18769,18954,21871,24891,25456,35.88,64.12,33.37,66.63,33.94,66.06,33.09,66.91,25.57,74.43,26.85,73.15,25.94,74.06
SAMPSON,8768,9649,11836,11566,10547,10966,9797,10410,12600,14038,14422,14838,17411,18178,45.72,54.28,43.37,56.63,45.74,54.26,44.51,55.49,41.55,58.45,38.64,61.36,35.02,64.98
SCOTLAND,5627,6386,8151,8215,7319,7186,6754,3740,5141,6005,5831,6256,7473,7767,60.07,39.93,55.4,44.6,57.58,42.42,58.49,41.51,53.92,46.08,49.02,50.98,46.51,53.49
STANLY,7066,7650,8878,8431,7094,8129,8881,15548,17814,19329,19904,21964,25458,27518,31.25,68.75,30.04,69.96,31.47,68.53,29.75,70.25,24.41,75.59,24.2,75.8,24.4,75.6
STOKES,5030,5767,6875,6018,4665,5286,5380,12028,13583,14488,15237,17116,20142,21548,29.49,70.51,29.8,70.2,32.18,67.82,28.31,71.69,21.42,78.58,20.79,79.21,19.98,80.02
SURRY,7757,8304,10475,9112,7488,8721,8613,15401,17587,18730,19923,23671,27538,28565,33.5,66.5,32.07,67.93,35.87,64.13,31.38,68.62,24.03,75.97,24.05,75.95,23.17,76.83
SWAIN,2097,2419,2806,2618,2196,2780,2643,2224,2593,2900,2976,3565,4161,4311,48.53,51.47,48.26,51.74,49.18,50.82,46.8,53.2,38.12,61.88,40.05,59.95,38.01,61.99
TRANSYLVANIA,5044,6097,7275,6826,6558,8444,8972,9011,9386,9401,9634,10520,11636,11492,35.89,64.11,39.38,60.62,43.63,56.37,41.47,58.53,38.4,61.6,42.05,57.95,43.84,56.16
