population,populationPercentOfState,populationChangeSince2014,medianAge,medianAgeChangePercent,under18Percent,under18ChangeSince2014Percent,over65in2024Percent,over65ChangeSince2014Percent,veteranPercent,agriculturalLandAcres,agriculturalLandChangeSince2017Percent,numberOfFarms,numberOfFarmsChangeSince2017Percent,broadbandInternetAccess2022Percent,broadbandInternetAccess2019Percent,computingDeviceAccess2022Percent,computingDeviceAccess2019Percent,childPovertyPercent,childPovertyTotal,averageWeeklyWage,averageWeeklyWageAsPercentofStateAverage,perCapitaIncome,perCapitaIncomeAsPercentofStatePCI,gdp2022,Gdp2021,preKEnrollment2023Percent,preKEnrollment2022Percent,k12FundingADM,k12Funding,youthOpportunity2022Percent,youthOpportunity2019Percent,adultsWithoutHSDiplomaPercent,adultsWithoutHSDiplomaTotal,educationalAttainmentPercent,educationalAttainmentGoal2030,foodInsecurity2022Percent,foodInsecurity2021Percent,medicaidEnrollmentTraditionalPercent,medicaidEnrollmentExpansionPercent,uninsuredResidents2021Percent,uninsuredResidents2020Percent,drugOverdoseEmergenciesPerHundredThousand,drugOverdoseEmergenciesTotal,overDoseDeathsPerHundredThousand,overDoseDeathsTotal,propertyTaxRate,propertyTaxLevy,propertyTaxPerCapita,propertyTaxTotalLevy,PropertyValuationPerCapita,PropertyValuationTotal,puvDeferredShare,puvValuationDeferred,localSalesTaxRate,Area (Square Mile),Lat,Long
0.4065030983357701,0.40636421726059097,0.7689608894703809,0.8915353808234064,0.8586701412514107,0.8246426334254293,0.822446531266124,0.8795021053362929,0.8720120667052034,0.82178916349015,0.7231399467118436,0.8718552416898716,0.6732371126641108,0.8354566569400872,0.8321521559195706,0.8182165966982037,0.8027010305779656,0.8019059017949868,0.8175642043213567,0.4478779104332862,0.7033069039842943,0.7033069039842943,0.7653676816052091,0.7653676816052091,0.31619846682287306,0.3165367778245339,0.9999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3762508161005593,0.3761176734322476,0.7344630083167589,0.8901072173165485,0.8424881432438467,0.797079442132895,0.7996398440065239,0.8833227040652891,0.8741366712647248,0.7938233079419666,0.7185021970752431,0.8577104189504398,0.6713071136682633,0.8117350770348252,0.8012578898807295,0.7807719951109491,0.7756770700698187,0.7692885024850845,0.8189017572930469,0.4203033250441452,0.6801461761846282,0.6801461761846282,0.7370258372183212,0.7370258372183212,0.2901887821160101,0.29055004400823986,0.9564815048869786,1.0000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6204925189557843,0.6201934246313542,0.871048932905819,0.868409167106641,0.9057578433751166,0.7742469029173109,0.7977113678469744,0.8366424174451057,0.8112693772971727,0.7279453638567129,0.6570412099824857,0.8509372810003114,0.7227727937100449,0.8234554459566192,0.9092378879168174,0.9048753029232539,0.9161798316896823,0.9167850138177018,0.686536320410607,0.6236392553613515,0.8661519042381576,0.8661519042381576,0.9156094410253794,0.9156094410253794,0.5158167316857541,0.5149844846800672,0.8026330775036156,0.7936521120919524,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9831842883022028,0.9833248435673013,0.5342776937542395,0.35353559631958464,0.4600597922953265,0.4686629143129055,0.4848949564464739,0.2852026427714773,0.2714470039978053,0.3360773410754952,0.36556142710526746,0.4248486441100076,0.4536318172487464,0.41858160041635956,0.5067895593001938,0.5180582963448055,0.5356415363235265,0.5389995872398005,0.26103570338353665,0.9031070857059404,0.7361377334148466,0.7361377334148466,0.6404311423679178,0.6404311423679178,0.9799559155049449,0.9788359671687753,0.3437795384638687,0.3165937377183549,0.5686472945484975,1.0000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3973936002529985,0.39713523104902454,0.7075429810101606,0.877898698059355,0.8444346859824422,0.8899781161022281,0.8789248451113973,0.8441710339921586,0.8323388317800109,0.7401410571010104,0.8454631682932169,0.8681892605612747,0.7322592868104152,0.8206103758488575,0.7732824458084767,0.7477824112872794,0.7057615485252511,0.7164280321077112,0.9095300144257888,0.47742500752276884,0.6893656328961231,0.6893656328961231,0.68364786133817,0.68364786133817,0.28269330908878065,0.2832054405406919,0.8277699804127113,0.8202791013237333,0.7289654717778917,0.30454984928009715,0.9999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.39650524320272257,0.3962502311493284,0.7314872251566138,0.8829047074451258,0.8513098416778629,0.9022444862416588,0.8911441789497843,0.8483195611973677,0.8413125387447002,0.7586074250732706,0.823785600709086,0.8814220698185474,0.7197535854273025,0.8321456687696204,0.7849918001622901,0.7619570352977852,0.7190360020252106,0.7281855708154028,0.9133950679870118,0.4781981567724967,0.69942261665085,0.69942261665085,0.6726672009695571,0.6726672009695571,0.2822674155313741,0.2828469765678194,0.8404436034145094,0.8328293702390084,0.7157408479420969,0.30225852454897495,0.9749327227982948,1.0000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,
0.40904900303207725,0.4089602309942546,0.6270912679724577,0.7669753082868179,0.7697505973781006,0.8071916557036715,0.7784577373252506,0.7439569553786362,0.7347789353346565,0.6209477227815122,0.7887505491159728,0.7898611222833329,0.6923443602225398,0.7930507560963079,0.6618343710823408,0.6358654659460102,0.5912032550093119,0.5967793995933242,0.8524621087905262,0.48818475401608447,0.6374556871127769,0.6374556871127769,0.5784911671836491,0.5784911671836491,0.3413335720135286,0.3423237083595815,0.7583275380014388,0.7290491986809092,0.6288635193762404,0.3429855252153546,0.824314842862582,0.8210533530897756,0.9999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,
0.9746021806624657,0.9745230522255359,0.6056739263559916,0.4393774178718269,0.546241249308201,0.5921319729466865,0.5997055865831213,0.36593660390887733,0.35453684277419123,0.4154319077176477,0.488873823467808,0.5229068917622239,0.563244559307863,0.5106093949015474,0.5794498080351623,0.5865568761866823,0.589767846446331,0.5945826509500373,0.389788306254169,0.9687337296494041,0.7937169912372735,0.7937169912372735,0.661551150555119,0.661551150555119,0.9630087444273446,0.9636023550423205,0.41555514327592336,0.38722940136954553,0.5970093068989035,0.954616411850298,0.427746190542717,0.4263994391698683,0.47680077179275054,1.0,,,,,,,,,,,,,,,,,,,,,,,,
0.6864901266104394,0.6861433519170718,0.9353254152705693,0.8498964055248319,0.9146443269089655,0.8275747447114911,0.8576220218705827,0.792592227917361,0.7763108116298569,0.724111545917135,0.6952289691605262,0.8720462508801144,0.802193232536795,0.8573452499779606,0.9481953816447936,0.9533366348442311,0.9624101676664348,0.962945701580814,0.6545663419705408,0.6899001037828203,0.9238458439522143,0.9238458439522143,0.9337435326011976,0.9337435326011976,0.5533030911840164,0.5522897919848812,0.7911281110930317,0.7587663601002229,0.9298032490233861,0.6127087474575363,0.6986817252827116,0.7100754681916612,0.5996144329833031,0.6534742498025681,0.9999999999999997,,,,,,,,,,,,,,,,,,,,,,,
0.989005027872738,0.9891166345742282,0.5458624802566171,0.36525631257533314,0.47275321498339307,0.4877483624829587,0.5029758894672709,0.29454778103544105,0.2820261806021032,0.3506307420415676,0.38196622261701885,0.4407989090845394,0.4702577093001955,0.4317646337191858,0.5181964681558329,0.5300825492140584,0.5445771581451085,0.5487335564827495,0.27688744216366634,0.9139137336101428,0.7384310256161613,0.7384310256161613,0.640138020933353,0.640138020933353,0.9815290509708976,0.9806163852976582,0.35111947965276386,0.3228648826212809,0.5617873385865082,0.9967733175100693,0.32139785670172266,0.3211578033933233,0.35624415224614486,0.9639718690319661,0.6186351140905832,0.9999999999999996,,,,,,,,,,,,,,,,,,,,,,
